tamano,n_habitaciones,y
93.0,3.0,7.204301075268817
85.0,3.0,8.823529411764707
117.0,2.0,7.863247863247863
55.0,2.0,10.909090909090908
88.0,3.0,7.7272727272727275
56.0,1.0,10.714285714285714
55.0,1.0,11.818181818181818
94.0,3.0,8.51063829787234
70.0,2.0,10.714285714285714
70.0,3.0,9.714285714285714
105.0,3.0,9.285714285714286
80.0,3.0,8.125
84.0,2.0,8.571428571428571
130.0,3.0,6.6923076923076925
57.0,2.0,9.649122807017545
70.0,1.0,8.571428571428571
87.0,3.0,9.540229885057471
107.0,3.0,8.411214953271028
136.0,3.0,4.779411764705882
105.0,4.0,8.095238095238095
91.0,3.0,5.4945054945054945
105.0,3.0,7.142857142857143
90.0,3.0,7.777777777777778
97.0,3.0,4.639175257731959
133.0,4.0,7.142857142857143
60.0,2.0,9.166666666666666
55.0,1.0,12.727272727272727
110.0,2.0,8.181818181818182
85.0,2.0,9.411764705882353
120.0,4.0,5.416666666666667
85.0,2.0,10.352941176470589
45.0,2.0,16.666666666666668
48.0,1.0,9.375
70.0,3.0,11.428571428571429
130.0,4.0,7.6923076923076925
65.0,2.0,12.307692307692308
96.0,3.0,8.125
80.0,2.0,6.25
105.0,3.0,7.428571428571429
125.0,1.0,7.6
68.0,2.0,9.558823529411764
80.0,3.0,12.25
78.0,3.0,6.858974358974359
180.0,5.0,5.277777777777778
70.0,4.0,10.357142857142858
99.0,3.0,6.0606060606060606
60.0,1.0,6.333333333333333
44.0,1.0,11.363636363636363
90.0,3.0,7.777777777777778
89.0,3.0,7.303370786516854
60.0,2.0,8.0
121.0,4.0,6.6115702479338845
85.0,3.0,8.823529411764707
130.0,4.0,10.0
90.0,2.0,3.888888888888889
85.0,3.0,8.235294117647058
97.0,3.0,6.701030927835052
75.0,2.0,10.0
84.0,3.0,5.9523809523809526
100.0,3.0,5.75
85.0,3.0,9.294117647058824
150.0,3.0,8.0
75.0,2.0,7.733333333333333
100.0,3.0,5.5
120.0,4.0,6.666666666666667
100.0,3.0,7.5
116.0,3.0,5.775862068965517
62.0,2.0,14.67741935483871
121.0,4.0,5.619834710743802
76.0,3.0,8.223684210526315
115.0,2.0,8.26086956521739
100.0,3.0,5.2
107.0,2.0,7.4766355140186915
115.0,2.0,7.826086956521739
70.0,1.0,8.857142857142858
50.0,1.0,19.0
105.0,2.0,7.619047619047619
90.0,3.0,7.722222222222222
50.0,1.0,10.0
86.0,2.0,8.720930232558139
64.0,2.0,7.03125
60.0,2.0,7.833333333333333
100.0,2.0,7.0
86.0,3.0,10.465116279069768
80.0,2.0,8.75
100.0,3.0,7.0
38.0,1.0,14.473684210526315
60.0,1.0,11.433333333333334
58.0,1.0,11.206896551724139
99.0,4.0,9.090909090909092
80.0,3.0,7.875
65.0,1.0,10.0
90.0,3.0,8.666666666666666
99.0,2.0,7.575757575757576
70.0,2.0,11.428571428571429
80.0,2.0,10.0
91.0,2.0,9.065934065934066
130.0,2.0,7.076923076923077
130.0,3.0,6.923076923076923
74.0,2.0,8.783783783783784
67.0,2.0,8.35820895522388
65.0,2.0,13.076923076923077
64.0,2.0,12.5
90.0,3.0,9.444444444444445
85.0,3.0,8.823529411764707
60.0,1.0,11.666666666666666
60.0,1.0,10.833333333333334
120.0,4.0,5.416666666666667
70.0,1.0,7.714285714285714
118.0,3.0,8.05084745762712
45.0,1.0,12.0
100.0,3.0,7.2
150.0,4.0,8.0
35.0,1.0,17.142857142857142
78.0,2.0,8.846153846153847
80.0,1.0,11.875
90.0,3.0,8.88888888888889
55.0,1.0,10.0
70.0,2.0,10.0
70.0,2.0,10.714285714285714
97.0,3.0,7.11340206185567
130.0,3.0,6.6923076923076925
116.0,3.0,8.620689655172415
60.0,2.0,10.0
96.0,3.0,7.291666666666667
105.0,3.0,8.571428571428571
102.0,3.0,7.598039215686274
85.0,3.0,6.0
70.0,2.0,9.857142857142858
50.0,1.0,14.0
300.0,6.0,11.666666666666666
70.0,2.0,51.42857142857143
90.0,3.0,13.333333333333334
146.0,5.0,10.95890410958904
40.0,1.0,10.5
